crop,soil_type,temperature_c,rainfall_mm,fertilizer_kg,pesticide_ml,yield_quintals
rice,loamy,28,210,60,20,24
rice,clay,30,250,70,25,26
rice,sandy,32,180,55,15,21
rice,alluvial,29,200,65,18,25
rice,black,31,230,68,22,27
wheat,loamy,22,140,50,10,17
wheat,clay,24,160,60,18,19
wheat,sandy,25,120,55,12,15
wheat,alluvial,23,150,58,15,18
wheat,black,26,170,62,20,21
maize,loamy,27,130,50,10,16
maize,clay,29,160,60,15,18
maize,sandy,31,100,45,8,13
maize,alluvial,28,140,55,12,17
maize,black,30,150,58,14,19
sorghum,loamy,32,80,40,10,11
sorghum,clay,34,100,50,12,13
sorghum,sandy,35,60,35,8,9
sorghum,alluvial,33,85,42,10,12
sorghum,black,32,90,45,11,13
barley,loamy,22,110,45,8,14
barley,clay,23,120,48,9,15
barley,sandy,24,100,42,7,12
barley,alluvial,22,115,46,8,14
barley,black,23,125,50,10,16
millet,loamy,30,90,40,10,12
millet,clay,31,100,42,12,13
millet,sandy,32,80,38,9,11
millet,alluvial,30,95,41,10,12
millet,black,31,85,43,11,13
chickpea,loamy,25,75,30,5,8
chickpea,clay,26,80,32,6,9
chickpea,sandy,24,70,28,5,7
chickpea,alluvial,25,78,31,6,8
chickpea,black,26,85,33,7,9
lentil,loamy,24,70,28,6,7
lentil,clay,25,75,30,6,8
lentil,sandy,23,65,26,5,6
lentil,alluvial,24,72,29,6,7
lentil,black,25,78,31,7,8
moong,loamy,28,80,32,5,9
moong,clay,27,78,31,5,10
moong,sandy,29,75,30,5,9
moong,alluvial,28,82,33,6,10
moong,black,27,85,34,6,11
urad,loamy,27,82,33,6,10
urad,clay,28,85,34,6,11
urad,sandy,26,78,31,5,9
urad,alluvial,27,80,32,5,10
urad,black,28,88,35,6,12
arhar,loamy,29,95,35,7,11
arhar,clay,30,100,38,8,13
arhar,sandy,28,90,33,6,10
arhar,alluvial,29,98,36,7,12
arhar,black,30,105,40,8,14
masoor,loamy,26,85,30,6,9
masoor,clay,27,90,32,6,10
masoor,sandy,25,80,28,5,8
masoor,alluvial,26,88,31,6,9
masoor,black,27,92,33,7,10
cowpea,loamy,28,88,32,5,10
cowpea,clay,29,90,33,6,11
cowpea,sandy,27,85,30,5,9
cowpea,alluvial,28,92,34,6,11
cowpea,black,29,95,35,6,12
groundnut,loamy,29,140,45,15,14
groundnut,clay,31,138,48,14,15
groundnut,sandy,30,130,42,12,13
groundnut,alluvial,29,145,46,15,15
groundnut,black,32,150,50,16,16
soybean,loamy,26,170,55,14,16
soybean,clay,26,168,56,14,17
soybean,sandy,27,165,53,13,15
soybean,alluvial,26,172,57,15,17
soybean,black,27,175,58,16,18
sunflower,loamy,30,150,45,12,14
sunflower,clay,33,155,48,12,14
sunflower,sandy,31,145,43,11,13
sunflower,alluvial,32,160,50,13,15
sunflower,black,33,165,52,14,16
mustard,loamy,22,120,40,12,12
mustard,clay,23,125,42,10,13
mustard,sandy,24,115,38,11,11
mustard,alluvial,22,122,41,12,12
mustard,black,23,128,43,13,13
sesame,loamy,28,110,38,10,11
sesame,clay,29,115,40,11,12
sesame,sandy,27,105,36,9,10
sesame,alluvial,28,112,39,10,11
sesame,black,29,118,42,12,12
tomato,loamy,30,80,20,8,10
tomato,clay,31,85,22,6,11
tomato,sandy,32,78,18,7,9
tomato,alluvial,30,82,21,7,10
tomato,black,31,88,23,8,12
potato,loamy,27,92,25,7,12
potato,clay,25,90,24,6,12
potato,sandy,28,88,22,5,11
potato,alluvial,26,94,26,7,13
potato,black,27,96,27,8,13
onion,loamy,28,85,18,5,9
onion,clay,26,88,20,6,10
onion,sandy,27,80,16,5,8
onion,alluvial,28,86,19,6,10
onion,black,29,90,21,7,11
brinjal,loamy,32,100,22,7,11
brinjal,clay,31,102,24,8,12
brinjal,sandy,33,98,20,6,10
brinjal,alluvial,32,105,23,7,12
brinjal,black,31,110,25,8,13
cabbage,loamy,24,97,21,7,11
cabbage,clay,25,95,22,6,10
cabbage,sandy,23,92,19,5,9
cabbage,alluvial,24,98,20,6,11
cabbage,black,25,100,23,7,12
cauliflower,loamy,23,90,18,5,9
cauliflower,clay,24,92,19,6,10
cauliflower,sandy,22,88,17,5,8
cauliflower,alluvial,23,91,18,6,9
cauliflower,black,24,95,20,7,10
carrot,loamy,22,80,15,4,8
carrot,clay,23,82,16,5,9
carrot,sandy,21,78,14,4,7
carrot,alluvial,22,81,15,4,8
carrot,black,23,85,17,5,9
capsicum,loamy,28,100,22,6,11
capsicum,clay,29,102,23,7,12
capsicum,sandy,27,98,21,6,10
capsicum,alluvial,28,105,24,7,12
capsicum,black,29,108,25,8,13
okra,loamy,30,105,25,7,12
okra,clay,31,108,27,8,13
okra,sandy,29,100,23,6,11
okra,alluvial,30,110,26,7,13
okra,black,31,115,28,8,14
mango,loamy,32,200,30,10,20
mango,clay,33,210,32,12,22
mango,sandy,31,190,28,9,18
mango,alluvial,32,205,31,11,21
mango,black,33,215,33,12,23
banana,loamy,28,180,25,12,18
banana,clay,29,185,26,13,19
banana,sandy,27,170,24,10,17
banana,alluvial,28,182,25,12,18
banana,black,29,190,27,13,20
papaya,loamy,30,170,28,10,16
papaya,clay,31,175,30,11,17
papaya,sandy,29,160,26,9,15
papaya,alluvial,30,172,29,10,16
papaya,black,31,180,31,12,18
guava,loamy,29,160,20,8,15
guava,clay,30,165,22,9,16
guava,sandy,28,150,18,7,14
guava,alluvial,29,158,21,8,15
guava,black,30,170,23,9,17
orange,loamy,27,150,22,9,14
orange,clay,28,155,24,10,15
orange,sandy,26,140,20,8,13
orange,alluvial,27,148,23,9,14
orange,black,28,160,25,10,16
pomegranate,loamy,30,140,18,7,13
pomegranate,clay,31,145,20,8,14
pomegranate,sandy,29,130,16,6,12
pomegranate,alluvial,30,138,19,7,13
pomegranate,black,31,150,21,8,15
cotton,loamy,34,90,55,25,10
cotton,clay,32,100,60,20,12
cotton,sandy,30,120,65,18,14
cotton,alluvial,33,95,58,22,11
cotton,black,31,110,62,20,13
sugarcane,loamy,32,120,60,20,25
sugarcane,clay,33,125,62,22,26
sugarcane,sandy,31,110,58,18,23
sugarcane,alluvial,32,122,61,21,25
sugarcane,black,33,130,64,23,27
tea,loamy,24,220,30,12,18
tea,clay,25,225,32,13,19
tea,sandy,23,210,28,10,17
tea,alluvial,24,218,31,12,18
tea,black,25,230,33,14,20
coffee,loamy,25,210,28,10,16
coffee,clay,26,215,30,12,17
coffee,sandy,24,200,25,9,15
coffee,alluvial,25,212,29,11,16
coffee,black,26,220,32,12,18
blackgram,loamy,28,75,30,5,9
blackgram,clay,27,78,32,5,10
blackgram,sandy,29,70,28,4,8
blackgram,alluvial,28,76,31,5,9
blackgram,black,27,80,33,6,10
greengram,loamy,27,78,32,5,10
greengram,clay,28,80,33,6,11
greengram,sandy,26,75,30,5,9
greengram,alluvial,27,79,32,6,10
greengram,black,28,82,34,6,11
pulses_mix,loamy,28,85,30,6,10
pulses_mix,clay,29,88,32,7,11
pulses_mix,sandy,27,80,28,5,9
pulses_mix,alluvial,28,86,31,6,10
pulses_mix,black,29,90,33,7,12
millet_mix,loamy,31,90,40,10,12
millet_mix,clay,32,95,42,11,13
millet_mix,sandy,30,85,38,9,11
millet_mix,alluvial,31,92,41,10,12
millet_mix,black,32,98,43,12,13
cereal_mix,loamy,29,140,50,12,16
cereal_mix,clay,30,145,52,13,17
cereal_mix,sandy,28,135,48,11,15
cereal_mix,alluvial,29,142,51,12,16
cereal_mix,black,30,150,54,14,18
vegetables_mix,loamy,27,100,25,8,12
vegetables_mix,clay,28,105,27,9,13
vegetables_mix,sandy,26,95,23,7,11
vegetables_mix,alluvial,27,102,26,8,12
vegetables_mix,black,28,110,28,9,14
fruits_mix,loamy,30,180,30,10,20
fruits_mix,clay,31,185,32,11,21
fruits_mix,sandy,29,170,28,9,18
fruits_mix,alluvial,30,182,31,10,20
fruits_mix,black,31,190,33,12,22
oilseeds_mix,loamy,28,120,40,12,15
oilseeds_mix,clay,29,125,42,13,16
oilseeds_mix,sandy,27,110,38,11,14
oilseeds_mix,alluvial,28,122,41,12,15
oilseeds_mix,black,29,130,44,14,17
cotton_mix,loamy,33,95,55,25,12
cotton_mix,clay,34,100,57,26,13
cotton_mix,sandy,32,90,53,24,11
cotton_mix,alluvial,33,98,56,25,12
cotton_mix,black,34,105,58,27,14
rice,alluvial,30,225,65,20,27
rice,black,31,230,68,22,28
wheat,loamy,24,150,55,15,18
wheat,clay,25,160,57,16,19
wheat,sandy,23,140,52,14,17
wheat,alluvial,24,155,56,15,18
wheat,black,25,165,59,17,20
maize,loamy,27,130,50,12,16
maize,clay,28,135,52,13,17
maize,sandy,26,125,48,11,15
maize,alluvial,27,132,51,12,16
maize,black,28,140,54,13,18
sorghum,loamy,32,80,40,10,11
sorghum,clay,33,85,42,11,12
sorghum,sandy,31,75,38,9,10
sorghum,alluvial,32,82,41,10,11
sorghum,black,33,90,43,12,13
barley,loamy,22,110,45,8,14
barley,clay,23,115,46,9,15
barley,sandy,21,105,43,7,13
barley,alluvial,22,112,45,8,14
barley,black,23,120,48,10,16
millet,loamy,30,90,40,10,12
millet,clay,31,95,42,11,13
millet,sandy,29,85,38,9,11
millet,alluvial,30,92,41,10,12
millet,black,31,98,43,12,13
chickpea,loamy,25,75,30,5,8
chickpea,clay,26,78,32,6,9
chickpea,sandy,24,70,28,4,7
chickpea,alluvial,25,76,31,5,8
chickpea,black,26,80,33,6,9
lentil,loamy,24,70,28,6,7
lentil,clay,25,72,30,7,8
lentil,sandy,23,68,26,5,6
lentil,alluvial,24,71,29,6,7
lentil,black,25,75,31,7,8
moong,loamy,28,80,32,5,9
moong,clay,29,82,34,6,10
moong,sandy,27,78,30,4,8
moong,alluvial,28,81,33,5,9
moong,black,29,85,35,6,10
urad,loamy,27,82,33,6,10
urad,clay,28,85,35,7,11
urad,sandy,26,80,30,5,9
urad,alluvial,27,83,34,6,10
urad,black,28,88,36,7,11
arhar,loamy,29,95,35,7,11
arhar,clay,30,100,37,8,12
arhar,sandy,28,90,33,6,10
arhar,alluvial,29,97,36,7,11
arhar,black,30,105,38,8,12
masoor,loamy,26,85,30,6,9
masoor,clay,27,88,32,7,10
masoor,sandy,25,80,28,5,8
masoor,alluvial,26,86,31,6,9
masoor,black,27,90,33,7,10
cowpea,loamy,28,88,32,5,10
cowpea,clay,29,90,34,6,11
cowpea,sandy,27,85,30,4,9
cowpea,alluvial,28,89,33,5,10
cowpea,black,29,95,35,6,11
groundnut,sandy,31,130,40,12,12
groundnut,alluvial,32,135,42,13,13
soybean,loamy,26,170,55,14,16
soybean,alluvial,27,175,56,15,17
sunflower,loamy,30,150,45,10,13
sunflower,clay,31,155,47,11,14
