crop,pest_type,symptom,pesticide,application_method,toxicity_level
rice,fungal,brown spot,Hexaconazole,spray,medium
rice,bacterial,bacterial leaf streak,Kasugamycin,spray,low
rice,insect,leaf folder,Cartap Hydrochloride,spray,high
wheat,fungal,powdery mildew,Tebuconazole,spray,medium
wheat,bacterial,bacterial blight,Streptomycin,spray,low
wheat,insect,armyworm,Chlorpyrifos,spray,high
maize,fungal,gray leaf spot,Boscalid,spray,medium
maize,insect,fall armyworm,Emamectin Benzoate,spray,high
maize,bacterial,leaf blight,Copper Oxychloride,spray,low
cotton,fungal,alternaria leaf spot,Azoxystrobin,spray,medium
cotton,insect,spotted bollworm,Indoxacarb,spray,high
cotton,bacterial,bacterial blight,Streptomycin,spray,low
sugarcane,fungal,smut,Fenoxanil,spray,medium
sugarcane,insect,top shoot borer,Chlorantraniliprole,spray,high
sugarcane,bacterial,leaf scald,Oxytetracycline,spray,low
tomato,fungal,fusarium wilt,Carbendazim,spray,medium
tomato,insect,tomato fruit borer,Spinosad,spray,high
tomato,bacterial,bacterial wilt,Streptomycin,spray,low
potato,fungal,early blight,Chlorothalonil,spray,medium
potato,insect,Colorado potato beetle,Imidacloprid,spray,high
potato,bacterial,blackleg,Streptomycin,spray,low
onion,fungal,white rot,Thiram,spray,medium
onion,insect,thrips,Acetamiprid,spray,medium
onion,bacterial,bacterial soft rot,Streptomycin,spray,low
brinjal,fungal,phomopsis blight,Metalaxyl,spray,medium
brinjal,insect,brinjal fruit and shoot borer,Spinosad,spray,high
brinjal,bacterial,bacterial wilt,Kasugamycin,spray,low
okra,fungal,leaf spot,Azoxystrobin,spray,medium
okra,insect,stem borer,Cartap Hydrochloride,spray,high
okra,bacterial,bacterial wilt,Streptomycin,spray,low
cauliflower,fungal,downy mildew,Fosetyl-Al,spray,medium
cauliflower,insect,cabbage aphid,Imidacloprid,spray,medium
cauliflower,bacterial,black rot,Streptomycin,spray,low
cabbage,fungal,clubroot,Thiabendazole,spray,medium
cabbage,insect,diamondback moth,Bt formulation,spray,low
cabbage,bacterial,black rot,Streptomycin,spray,low
banana,fungal,panama wilt,Fenamidone,spray,medium
banana,insect,banana weevil,Chlorantraniliprole,soil application,high
banana,bacterial,bacterial wilt,Kasugamycin,spray,low
mango,fungal,anthracnose,Carbendazim,spray,medium
mango,insect,mango hoppers,Imidacloprid,spray,high
mango,bacterial,bacterial black spot,Streptomycin,spray,low
groundnut,fungal,aspergillus rot,Azoxystrobin,spray,medium
groundnut,insect,red hairy caterpillar,Spinosad,spray,high
groundnut,bacterial,bacterial wilt,Streptomycin,spray,low
soybean,fungal,rust,Propiconazole,spray,medium
soybean,insect,leaf miner,Emamectin Benzoate,spray,high
soybean,bacterial,bacterial blight,Copper Oxychloride,spray,low
mustard,fungal,white rust,Hexaconazole,spray,medium
mustard,insect,aphid infestation,Imidacloprid,spray,low
mustard,bacterial,black leg,Streptomycin,spray,low
cowpea,fungal,leaf spot,Carbendazim,spray,medium
cowpea,insect,pod borer,Spinosad,spray,high
cowpea,bacterial,bacterial blight,Kasugamycin,spray,low
bajra,fungal,leaf blast,Propiconazole,spray,medium
bajra,insect,stem borer,Cartap Hydrochloride,spray,high
bajra,bacterial,leaf streak,Kasugamycin,spray,low
jowar,fungal,gray leaf spot,Boscalid,spray,medium
jowar,insect,earhead caterpillar,Emamectin Benzoate,spray,high
jowar,bacterial,red stripe,Streptomycin,spray,low
ragi,fungal,powdery mildew,Tebuconazole,spray,medium
ragi,insect,shoot fly,Imidacloprid,spray,high
ragi,bacterial,leaf blight,Copper Oxychloride,spray,low
blackgram,fungal,leaf curl,Azoxystrobin,spray,medium
blackgram,insect,aphid infestation,Thiamethoxam,spray,low
blackgram,bacterial,bacterial blight,Streptomycin,spray,low
greengram,fungal,anthracnose,Carbendazim,spray,medium
greengram,insect,spider mite,Emamectin Benzoate,spray,high
greengram,bacterial,bacterial leaf spot,Kasugamycin,spray,low
lentil,fungal,ascochyta blight,Hexaconazole,spray,medium
lentil,insect,aphid infestation,Imidacloprid,spray,low
lentil,bacterial,bacterial wilt,Streptomycin,spray,low
pigeonpea,fungal,fusarium wilt,Carbendazim,spray,medium
pigeonpea,insect,stem borer,Cartap Hydrochloride,spray,high
pigeonpea,bacterial,bacterial blight,Kasugamycin,spray,low
chickpea,fungal,botrytis gray mold,Azoxystrobin,spray,medium
chickpea,insect,gram pod borer,Spinosad,spray,high
chickpea,bacterial,bacterial blight,Streptomycin,spray,low
cowpea,fungal,powdery mildew,Tebuconazole,spray,medium
cowpea,insect,maruca pod borer,Indoxacarb,spray,high
cowpea,bacterial,bacterial blight,Kasugamycin,spray,low
sesame,fungal,alternaria leaf spot,Metalaxyl,spray,medium
sesame,insect,leaf webber,Emamectin Benzoate,spray,high
sesame,bacterial,bacterial leaf spot,Streptomycin,spray,low
sunflower,fungal,downy mildew,Fosetyl-Al,spray,medium
sunflower,insect,Helicoverpa armigera,Spinosad,spray,high
sunflower,bacterial,bacterial leaf blight,Kasugamycin,spray,low
sorghum,fungal,red leaf spot,Propiconazole,spray,medium
sorghum,insect,shoot fly,Imidacloprid,spray,high
sorghum,bacterial,leaf streak,Streptomycin,spray,low
apple,fungal,apple scab,Captan,spray,medium
apple,insect,apple codling moth,Emamectin Benzoate,spray,high
apple,bacterial,bacterial canker,Kasugamycin,spray,low
grapes,fungal,downy mildew,Metalaxyl,spray,medium
grapes,insect,grape berry moth,Spinosad,spray,high
grapes,bacterial,bacterial blight,Streptomycin,spray,low
pomegranate,fungal,fruit rot,Carbendazim,spray,medium
pomegranate,insect,pomegranate butterfly,Cartap Hydrochloride,spray,high
pomegranate,bacterial,bacterial blight,Kasugamycin,spray,low
cucumber,fungal,powdery mildew,Tebuconazole,spray,medium
cucumber,insect,cucumber beetle,Imidacloprid,spray,high
cucumber,bacterial,bacterial wilt,Streptomycin,spray,low
pumpkin,fungal,anthracnose,Azoxystrobin,spray,medium
pumpkin,insect,pumpkin fruit fly,Spinosad,spray,high
pumpkin,bacterial,bacterial wilt,Kasugamycin,spray,low
banana,fungal,black sigatoka,Propiconazole,spray,medium
banana,insect,banana weevil,Cypermethrin,spray,high
banana,bacterial,bacterial wilt,Streptomycin,spray,low
mango,fungal,powdery mildew,Tebuconazole,spray,medium
mango,insect,mango hoppers,Imidacloprid,spray,high
mango,bacterial,bacterial black spot,Kasugamycin,spray,low
groundnut,fungal,early leaf spot,Hexaconazole,spray,medium
groundnut,insect,leaf miner,Emamectin Benzoate,spray,high
groundnut,bacterial,bacterial wilt,Streptomycin,spray,low
soybean,fungal,rust,Azoxystrobin,spray,medium
soybean,insect,soybean aphid,Thiamethoxam,spray,low
soybean,bacterial,bacterial blight,Kasugamycin,spray,low
mustard,fungal,white rust,Propiconazole,spray,medium
mustard,insect,aphid infestation,Imidacloprid,spray,low
mustard,bacterial,bacterial blight,Streptomycin,spray,low
tomato,fungal,bacterial leaf spot,Azoxystrobin,spray,medium
tomato,insect,tomato fruit borer,Spinosad,spray,high
tomato,bacterial,bacterial wilt,Streptomycin,spray,low
potato,fungal,early blight,Chlorothalonil,spray,medium
potato,insect,Colorado potato beetle,Imidacloprid,spray,high
potato,bacterial,soft rot,Streptomycin,spray,low
onion,fungal,downy mildew,Metalaxyl,spray,medium
onion,insect,onion thrips,Thiamethoxam,spray,low
onion,bacterial,bacterial soft rot,Kasugamycin,spray,low
brinjal,fungal,Phomopsis blight,Carbendazim,spray,medium
brinjal,insect,fruit and shoot borer,Spinosad,spray,high
brinjal,bacterial,bacterial wilt,Streptomycin,spray,low
okra,fungal,leaf spot,Propiconazole,spray,medium
okra,insect,jassids,Imidacloprid,spray,low
okra,bacterial,bacterial blight,Kasugamycin,spray,low
cauliflower,fungal,black rot,Azoxystrobin,spray,medium
cauliflower,insect,diamondback moth,Spinosad,spray,high
cauliflower,bacterial,bacterial soft rot,Streptomycin,spray,low
cabbage,fungal,downy mildew,Tebuconazole,spray,medium
cabbage,insect,cabbage aphid,Thiamethoxam,spray,low
cabbage,bacterial,bacterial leaf spot,Kasugamycin,spray,low
apple,fungal,apple powdery mildew,Tebuconazole,spray,medium
apple,insect,apple aphid,Imidacloprid,spray,low
apple,bacterial,bacterial canker,Streptomycin,spray,low
grapes,fungal,black rot,Azoxystrobin,spray,medium
grapes,insect,mealy bug,Spinosad,spray,high
grapes,bacterial,bacterial leaf spot,Kasugamycin,spray,low
pomegranate,fungal,fruit rot,Carbendazim,spray,medium
pomegranate,insect,pomegranate aphid,Imidacloprid,spray,low
pomegranate,bacterial,bacterial blight,Streptomycin,spray,low
cucumber,fungal,powdery mildew,Tebuconazole,spray,medium
cucumber,insect,cucumber mite,Thiamethoxam,spray,low
cucumber,bacterial,bacterial wilt,Kasugamycin,spray,low
pumpkin,fungal,anthracnose,Azoxystrobin,spray,medium
pumpkin,insect,pumpkin fruit fly,Spinosad,spray,high
pumpkin,bacterial,bacterial wilt,Streptomycin,spray,low
chickpea,fungal,ascochyta blight,Propiconazole,spray,medium
chickpea,insect,pod borer,Spinosad,spray,high
chickpea,bacterial,bacterial blight,Streptomycin,spray,low
lentil,fungal,botrytis grey mold,Azoxystrobin,spray,medium
lentil,insect,aphids,Imidacloprid,spray,low
lentil,bacterial,bacterial blight,Kasugamycin,spray,low
blackgram,fungal,leaf curl,Metalaxyl,spray,medium
blackgram,insect,pod borer,Thiamethoxam,spray,high
blackgram,bacterial,bacterial wilt,Streptomycin,spray,low
greengram,fungal,mildew,Propiconazole,spray,medium
greengram,insect,whitefly,Imidacloprid,spray,low
greengram,bacterial,bacterial leaf spot,Kasugamycin,spray,low
